rank,city,listings
1,St. Louis,66
2,Dallas,48
3,New York,47
4,Los Angeles,44
5,Washington DC,44
6,San Francisco,42
7,Nashville,38
8,Boston,36
9,Columbus,34
10,Bay Area,29
11,Chicago,26
12,Miami,26
13,Raleigh,20
14,Charlotte,18
15,Cleveland,17
16,Houston,15
17,Sacramento,15
18,London,14
19,Denver,13
20,New Orleans,13
21,Phoenix,12
22,Providence,12
23,San Diego,12
24,Sydney,10
25,Atlanta,9
26,Hartford,9
27,Philadelphia,9
28,Austin,8
29,Cincinnati,5
30,Milwaukee,5
31,Orlando,5
32,Fort Lauderdale,4
33,Kansas City,4
34,Melbourne,4
35,Portland,4
36,Seattle,4
37,Toronto,4
38,Baltimore,3
39,Minneapolis,3
40,Tampa,3
41,Buffalo,2
42,Detroit,2
43,Louisville,2
44,Pittsburgh,2
45,Fort Worth,1
46,Oklahoma City,1
47,Richmond VA,1
48,San Antonio,1
49,Virginia Beach,1
